flr/usdt,eth/usdt,btc/usdt,timestamp
0.0165676,2185.958,86055.19,1741494896
0.0165696,2186.224,86055.19,1741494898
0.0165716,2186.49,86065.69,1741494903
0.0165736,2186.756,86076.19,1741494905
0.0165715,2186.489,86065.68,1741494928
0.0165694,2186.222,86055.17,1741494932
0.0165694,2185.955,86044.66,1741494934
0.0165714,2185.688,86034.15,1741494938
0.0165774,2186.22,86044.65,1741494944
0.0165774,2186.486,86044.65,1741494948
0.0165753,2186.486,86055.15,1741494958
0.0165753,2186.486,86055.15,1741494960
0.016569,2187.018,86034.13,1741494966
0.016571,2187.284,86034.13,1741495001
0.016573,2187.284,86034.13,1741495003
0.0165709,2187.284,86023.62,1741495016
0.0165688,2187.284,86013.12,1741495018
0.0165667,2187.551,86013.12,1741495022
0.0165646,2187.55,86023.61,1741495031
0.0165646,2187.55,86023.61,1741495035
0.0165646,2187.55,86023.61,1741495039
0.0165646,2187.282,86023.61,1741495041
0.0165646,2187.549,86002.61,1741495047
0.0165646,2187.816,86002.61,1741495049
0.0165646,2187.548,86013.1,1741495051
0.0165646,2187.28,86013.1,1741495060
0.0165646,2187.28,86013.1,1741495069
0.0165646,2187.547,86013.1,1741495110
0.0165646,2187.814,86023.59,1741495120
0.0165646,2188.081,86034.09,1741495122
0.0165646,2188.348,86034.09,1741495124
0.0165625,2188.615,86034.09,1741495136
0.0165583,2189.149,86023.58,1741495140
0.0165562,2188.881,86034.08,1741495146
0.016552,2189.148,86023.57,1741495155
0.0165499,2188.88,86034.07,1741495164
0.0165478,2188.612,86034.07,1741495166
0.0165436,2188.344,86044.57,1741495170
0.0165415,2188.611,86044.57,1741495172
0.0165394,2188.611,86044.57,1741495174
0.0165373,2188.878,86044.57,1741495176
0.0165352,2189.145,86044.57,1741495178
0.0165331,2189.145,86044.57,1741495195
0.016531,2188.877,86044.57,1741495197
0.0165247,2189.144,86055.07,1741495207
0.0165226,2188.876,86044.56,1741495232
0.0165205,2188.608,86034.05,1741495247
0.0165184,2188.34,86023.54,1741495261
0.0165184,2188.072,86013.04,1741495265
0.0165184,2187.804,86002.54,1741495267
0.0165163,2187.804,85992.04,1741495269
0.0165142,2187.804,85981.54,1741495271
0.0165162,2187.804,85992.03,1741495273
0.0165182,2188.071,86002.52,1741495290
0.0165182,2188.337,86013.0,1741495298
0.0165182,2188.069,86002.5,1741495300
0.0165161,2187.801,85992.0,1741495308
0.0165161,2188.068,85981.5,1741495315
0.0165181,2187.8,85991.99,1741495324
0.0165201,2187.532,85991.99,1741495326
0.0165221,2187.532,85981.49,1741495337
0.0165241,2187.264,85970.99,1741495344
0.0165301,2186.997,85960.49,1741495350
0.0165321,2187.263,85970.98,1741495352
0.0165341,2187.529,85981.47,1741495354
0.0165361,2187.796,85991.96,1741495356
0.0165401,2187.528,86002.45,1741495360
0.0165421,2187.261,85991.95,1741495362
0.0165441,2187.261,85981.45,1741495380
0.0165461,2187.261,85970.95,1741495382
0.0165521,2186.994,85981.44,1741495388
0.0165541,2186.727,85981.44,1741495390
0.0165561,2186.46,85981.44,1741495392
0.0165581,2186.726,85981.44,1741495399
0.0165581,2186.992,85981.44,1741495413
0.016556,2187.258,85991.93,1741495435
0.016556,2186.991,85991.93,1741495443
0.016558,2186.457,85981.43,1741495447
0.0165559,2186.457,85981.43,1741495468
0.0165538,2186.723,85981.43,1741495489
0.0165517,2186.723,85991.92,1741495497
0.0165496,2186.723,85981.42,1741495510
0.0165475,2186.989,85981.42,1741495512
0.0165454,2187.255,85981.42,1741495514
0.0165454,2187.255,86002.4,1741495535
0.0165454,2187.255,86012.89,1741495537
0.0165454,2187.521,86012.89,1741495539
0.0165412,2187.254,86023.38,1741495557
0.0165412,2187.254,86012.88,1741495561
0.0165412,2186.987,86002.38,1741495563
0.0165412,2186.72,85991.88,1741495565
0.0165432,2186.986,86002.37,1741495569
0.0165432,2186.986,86002.37,1741495571
0.0165411,2187.252,86002.37,1741495579
0.0165411,2187.518,86002.37,1741495586
0.0165411,2187.251,85991.87,1741495614
0.0165411,2186.984,85981.37,1741495628
0.016539,2186.717,85970.87,1741495646
0.0165369,2186.45,85970.87,1741495648
0.0165327,2185.916,85981.36,1741495652
0.0165306,2185.916,85991.85,1741495654
0.0165285,2186.182,85981.35,1741495669
0.0165264,2186.182,85981.35,1741495671
0.0165243,2186.448,85981.35,1741495673
0.0165243,2186.181,85991.84,1741495677
0.0165243,2186.181,85991.84,1741495679
0.0165243,2186.181,85981.34,1741495683
0.0165243,2186.447,85981.34,1741495689
0.0165222,2186.18,85970.84,1741495704
0.0165201,2185.913,85970.84,1741495733
0.0165201,2185.913,85970.84,1741495743
0.0165241,2185.646,85991.82,1741495774
0.0165241,2185.646,86002.31,1741495776
0.016522,2185.912,85991.81,1741495778
0.016524,2185.912,85991.81,1741495826
0.016526,2185.912,85991.81,1741495832
0.016528,2185.645,85991.81,1741495836
0.01653,2185.911,85991.81,1741495840
0.016532,2185.911,85991.81,1741495857
0.016534,2185.911,86002.3,1741495862
0.016538,2186.443,86002.3,1741495886
0.01654,2186.709,86002.3,1741495905
0.016544,2187.241,85991.8,1741495917
0.016546,2187.241,86002.29,1741495919
0.016548,2187.241,85991.79,1741495929
0.01655,2186.974,85991.79,1741495939
0.0165479,2186.707,85991.79,1741495957
0.0165499,2186.973,85991.79,1741495973
0.0165519,2186.973,85991.79,1741495975
0.0165539,2186.973,85991.79,1741495977
0.0165599,2187.772,86023.26,1741496010
0.0165619,2188.039,86033.76,1741496017
0.0165639,2188.306,86033.76,1741496042
0.0165659,2188.573,86044.26,1741496050
0.0165699,2189.107,86054.76,1741496054
0.0165699,2189.107,86054.76,1741496064
0.0165719,2189.107,86054.76,1741496066
0.0165719,2189.107,86054.76,1741496068
